,Long10,Lat10,biome
Cell_104,-61.23004659,4.500803036,Amazonia
Cell_106,-60.23004659,4.500803036,Amazonia
Cell_260,-61.23004659,3.500803036,Amazonia
Cell_333,-63.73004659,3.000803036,Amazonia
Cell_339,-60.73004659,3.000803036,Amazonia
Cell_411,-63.73004659,2.500803036,Amazonia
Cell_572,-61.23004659,1.500803036,Amazonia
Cell_593,-50.73004659,1.500803036,Amazonia
Cell_794,-67.23004659,0.000803036,Amazonia
Cell_826,-51.23004659,0.000803036,Amazonia
Cell_876,-65.23004659,-0.499196964,Amazonia
Cell_909,-48.73004659,-0.499196964,Amazonia
Cell_975,-54.73004659,-0.999196964,Amazonia
Cell_987,-48.73004659,-0.999196964,Amazonia
Cell_988,-48.23004659,-0.999196964,Amazonia
Cell_989,-47.73004659,-0.999196964,Amazonia
Cell_991,-46.73004659,-0.999196964,Amazonia
Cell_1050,-56.23004659,-1.499196964,Amazonia
Cell_1051,-55.73004659,-1.499196964,Amazonia
Cell_1057,-52.73004659,-1.499196964,Amazonia
Cell_1064,-49.23004659,-1.499196964,Amazonia
Cell_1065,-48.73004659,-1.499196964,Amazonia
Cell_1067,-47.73004659,-1.499196964,Amazonia
Cell_1068,-47.23004659,-1.499196964,Amazonia
Cell_1118,-61.23004659,-1.999196964,Amazonia
Cell_1128,-56.23004659,-1.999196964,Amazonia
Cell_1129,-55.73004659,-1.999196964,Amazonia
Cell_1139,-50.73004659,-1.999196964,Amazonia
Cell_1197,-60.73004659,-2.499196964,Amazonia
Cell_1199,-59.73004659,-2.499196964,Amazonia
Cell_1209,-54.73004659,-2.499196964,Amazonia
Cell_1230,-44.23004659,-2.499196964,Amazonia
Cell_1276,-60.23004659,-2.999196964,Amazonia
Cell_1277,-59.73004659,-2.999196964,Amazonia
Cell_1306,-45.23004659,-2.999196964,Amazonia
Cell_1308,-44.23004659,-2.999196964,Amazonia
Cell_1353,-60.73004659,-3.499196964,Amazonia
Cell_1388,-43.23004659,-3.499196964,Cerrado
Cell_1392,-41.23004659,-3.499196964,Caatinga
Cell_1453,-49.73004659,-3.999196964,Amazonia
Cell_1469,-41.73004659,-3.999196964,Caatinga
Cell_1471,-40.73004659,-3.999196964,Caatinga
Cell_1518,-56.23004659,-4.499196964,Amazonia
Cell_1610,-49.23004659,-4.999196964,Amazonia
Cell_1688,-49.23004659,-5.499196964,Amazonia
Cell_1715,-35.73004659,-5.499196964,Caatinga
Cell_1742,-61.23004659,-5.999196964,Amazonia
Cell_1761,-51.73004659,-5.999196964,Amazonia
Cell_1764,-50.23004659,-5.999196964,Amazonia
Cell_1794,-35.23004659,-5.999196964,Atlantica
Cell_1838,-52.23004659,-6.499196964,Amazonia
Cell_1854,-44.23004659,-6.499196964,Cerrado
Cell_1872,-35.23004659,-6.499196964,Atlantica
Cell_1891,-64.73004659,-6.999196964,Amazonia
Cell_1904,-58.23004659,-6.999196964,Amazonia
Cell_1918,-51.23004659,-6.999196964,Amazonia
Cell_1924,-48.23004659,-6.999196964,Amazonia
Cell_1926,-47.23004659,-6.999196964,Cerrado
Cell_1928,-46.23004659,-6.999196964,Cerrado
Cell_1930,-45.23004659,-6.999196964,Cerrado
Cell_1934,-43.23004659,-6.999196964,Caatinga
Cell_1948,-36.23004659,-6.999196964,Caatinga
Cell_1949,-35.73004659,-6.999196964,Caatinga
Cell_1950,-35.23004659,-6.999196964,Atlantica
Cell_1953,-72.73004659,-7.499196964,Amazonia
Cell_1972,-63.23004659,-7.499196964,Amazonia
Cell_1983,-57.73004659,-7.499196964,Amazonia
Cell_2003,-47.73004659,-7.499196964,Cerrado
Cell_2004,-47.23004659,-7.499196964,Cerrado
Cell_2006,-46.23004659,-7.499196964,Cerrado
Cell_2008,-45.23004659,-7.499196964,Cerrado
Cell_2022,-38.23004659,-7.499196964,Caatinga
Cell_2028,-35.23004659,-7.499196964,Atlantica
Cell_2031,-72.73004659,-7.999196964,Amazonia
Cell_2060,-58.23004659,-7.999196964,Amazonia
Cell_2062,-57.23004659,-7.999196964,Amazonia
Cell_2077,-49.73004659,-7.999196964,Amazonia
Cell_2081,-47.73004659,-7.999196964,Cerrado
Cell_2100,-38.23004659,-7.999196964,Caatinga
Cell_2104,-36.23004659,-7.999196964,Caatinga
Cell_2105,-35.73004659,-7.999196964,Caatinga
Cell_2106,-35.23004659,-7.999196964,Atlantica
Cell_2143,-55.73004659,-8.499196964,Amazonia
Cell_2156,-49.23004659,-8.499196964,Cerrado
Cell_2158,-48.23004659,-8.499196964,Cerrado
Cell_2177,-38.73004659,-8.499196964,Caatinga
Cell_2178,-38.23004659,-8.499196964,Caatinga
Cell_2180,-37.23004659,-8.499196964,Caatinga
Cell_2181,-36.73004659,-8.499196964,Caatinga
Cell_2182,-36.23004659,-8.499196964,Caatinga
Cell_2183,-35.73004659,-8.499196964,Atlantica
Cell_2184,-35.23004659,-8.499196964,Atlantica
Cell_2187,-72.73004659,-8.999196964,Amazonia
Cell_2205,-63.73004659,-8.999196964,Amazonia
Cell_2235,-48.73004659,-8.999196964,Amazonia
Cell_2238,-47.23004659,-8.999196964,Cerrado
Cell_2252,-40.23004659,-8.999196964,Caatinga
Cell_2260,-36.23004659,-8.999196964,Atlantica
Cell_2261,-35.73004659,-8.999196964,Atlantica
Cell_2262,-35.23004659,-8.999196964,Atlantica
Cell_2317,-46.73004659,-9.499196964,Cerrado
Cell_2321,-44.73004659,-9.499196964,Cerrado
Cell_2338,-36.23004659,-9.499196964,Atlantica
Cell_2339,-35.73004659,-9.499196964,Atlantica
Cell_2353,-67.73004659,-9.999196964,Amazonia
Cell_2372,-58.23004659,-9.999196964,Amazonia
Cell_2383,-52.73004659,-9.999196964,Amazonia
Cell_2388,-50.23004659,-9.999196964,Cerrado
Cell_2392,-48.23004659,-9.999196964,Cerrado
Cell_2412,-38.23004659,-9.999196964,Caatinga
Cell_2450,-58.23004659,-10.49919696,Amazonia
Cell_2455,-55.73004659,-10.49919696,Amazonia
Cell_2470,-48.23004659,-10.49919696,Cerrado
Cell_2471,-47.73004659,-10.49919696,Cerrado
Cell_2473,-46.73004659,-10.49919696,Cerrado
Cell_2474,-46.23004659,-10.49919696,Cerrado
Cell_2484,-41.23004659,-10.49919696,Caatinga
Cell_2486,-40.23004659,-10.49919696,Caatinga
Cell_2490,-38.23004659,-10.49919696,Caatinga
Cell_2492,-37.23004659,-10.49919696,Atlantica
Cell_2493,-36.73004659,-10.49919696,Atlantica
Cell_2521,-61.73004659,-10.99919696,Amazonia
Cell_2534,-55.23004659,-10.99919696,Amazonia
Cell_2543,-50.73004659,-10.99919696,Cerrado
Cell_2547,-48.73004659,-10.99919696,Cerrado
Cell_2549,-47.73004659,-10.99919696,Cerrado
Cell_2553,-45.73004659,-10.99919696,Cerrado
Cell_2554,-45.23004659,-10.99919696,Cerrado
Cell_2562,-41.23004659,-10.99919696,Caatinga
Cell_2566,-39.23004659,-10.99919696,Caatinga
Cell_2567,-38.73004659,-10.99919696,Caatinga
Cell_2569,-37.73004659,-10.99919696,Atlantica
Cell_2570,-37.23004659,-10.99919696,Atlantica
Cell_2605,-58.73004659,-11.49919696,Amazonia
Cell_2607,-57.73004659,-11.49919696,Amazonia
Cell_2620,-51.23004659,-11.49919696,Cerrado
Cell_2624,-49.23004659,-11.49919696,Cerrado
Cell_2627,-47.73004659,-11.49919696,Cerrado
Cell_2629,-46.73004659,-11.49919696,Cerrado
Cell_2630,-46.23004659,-11.49919696,Cerrado
Cell_2640,-41.23004659,-11.49919696,Caatinga
Cell_2641,-40.73004659,-11.49919696,Caatinga
Cell_2644,-39.23004659,-11.49919696,Caatinga
Cell_2645,-38.73004659,-11.49919696,Caatinga
Cell_2646,-38.23004659,-11.49919696,Caatinga
Cell_2647,-37.73004659,-11.49919696,Atlantica
Cell_2677,-61.73004659,-11.99919696,Amazonia
Cell_2704,-48.23004659,-11.99919696,Cerrado
Cell_2705,-47.73004659,-11.99919696,Cerrado
Cell_2706,-47.23004659,-11.99919696,Cerrado
Cell_2709,-45.73004659,-11.99919696,Cerrado
Cell_2710,-45.23004659,-11.99919696,Cerrado
Cell_2711,-44.73004659,-11.99919696,Cerrado
Cell_2717,-41.73004659,-11.99919696,Caatinga
Cell_2718,-41.23004659,-11.99919696,Caatinga
Cell_2722,-39.23004659,-11.99919696,Atlantica
Cell_2723,-38.73004659,-11.99919696,Atlantica
Cell_2724,-38.23004659,-11.99919696,Atlantica
Cell_2725,-37.73004659,-11.99919696,Atlantica
Cell_2780,-49.23004659,-12.49919696,Cerrado
Cell_2786,-46.23004659,-12.49919696,Cerrado
Cell_2795,-41.73004659,-12.49919696,Caatinga
Cell_2796,-41.23004659,-12.49919696,Caatinga
Cell_2800,-39.23004659,-12.49919696,Caatinga
Cell_2801,-38.73004659,-12.49919696,Atlantica
Cell_2802,-38.23004659,-12.49919696,Atlantica
Cell_2843,-56.73004659,-12.99919696,Amazonia
Cell_2853,-51.73004659,-12.99919696,Cerrado
Cell_2856,-50.23004659,-12.99919696,Cerrado
Cell_2857,-49.73004659,-12.99919696,Cerrado
Cell_2860,-48.23004659,-12.99919696,Cerrado
Cell_2861,-47.73004659,-12.99919696,Cerrado
Cell_2863,-46.73004659,-12.99919696,Cerrado
Cell_2868,-44.23004659,-12.99919696,Cerrado
Cell_2873,-41.73004659,-12.99919696,Caatinga
Cell_2874,-41.23004659,-12.99919696,Caatinga
Cell_2877,-39.73004659,-12.99919696,Atlantica
Cell_2878,-39.23004659,-12.99919696,Atlantica
Cell_2918,-58.23004659,-13.49919696,Cerrado
Cell_2934,-50.23004659,-13.49919696,Cerrado
Cell_2938,-48.23004659,-13.49919696,Cerrado
Cell_2939,-47.73004659,-13.49919696,Cerrado
Cell_2940,-47.23004659,-13.49919696,Cerrado
Cell_2942,-46.23004659,-13.49919696,Cerrado
Cell_2944,-45.23004659,-13.49919696,Cerrado
Cell_2951,-41.73004659,-13.49919696,Caatinga
Cell_2952,-41.23004659,-13.49919696,Caatinga
